Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000025479,Cyp2e1,Gene Expression,0.556774300570617,0.0,0.0,701910,143.26232503754937,4923
ENSMUSG00000030934,Oat,Gene Expression,0.5389220699657332,0.0,0.0,135855,28.87152650173225,4761
ENSMUSG00000056035,Cyp3a11,Gene Expression,0.4895812174032128,0.0,0.0,136877,27.543700439092476,4918
ENSMUSG00000021876,Rnase4,Gene Expression,0.48452764755686817,0.0,0.0,123255,25.029573867378122,4921
ENSMUSG00000003053,Cyp2c29,Gene Expression,0.4780052119514021,0.0,0.0,70037,14.562948040560956,4831
ENSMUSG00000078672,Mup20,Gene Expression,0.4725932482503733,0.0,0.0,546009,98.12746637631277,4923
ENSMUSG00000002985,Apoe,Gene Expression,0.4724417649796822,0.0,0.0,1470534,284.67175377876515,4924
ENSMUSG00000030895,Hpx,Gene Expression,0.4675125085333522,0.0,0.0,309319,56.521448354922235,4923
ENSMUSG00000095079,Igha,Gene Expression,0.4562513588816571,0.0,0.0,986,0.22545323427989747,155
ENSMUSG00000023070,Rgn,Gene Expression,0.4555098889390454,0.0,0.0,96491,19.2243440825561,4910
ENSMUSG00000096688,Mup17,Gene Expression,0.450276498520718,0.0,0.0,55581,11.27845394372195,4867
ENSMUSG00000032080,Apoa4,Gene Expression,0.4435187882637288,0.0,0.0,251604,45.549925596072335,4921
ENSMUSG00000005089,Slc1a2,Gene Expression,0.44085652330703406,0.0,0.0,20012,4.3692460768639965,3197
ENSMUSG00000052974,Cyp2f2,Gene Expression,0.43729396127291875,0.0,0.0,62773,10.993865624374763,4618
ENSMUSG00000032310,Cyp1a2,Gene Expression,0.4239034666820261,0.0,0.0,37207,7.687430148586565,4711
ENSMUSG00000010025,Aldh3a2,Gene Expression,0.41743765177656855,0.0,0.0,60435,12.167324030478397,4896
ENSMUSG00000002588,Pon1,Gene Expression,0.41376548010102954,0.0,0.0,108247,21.426981643231695,4920
ENSMUSG00000034450,Gulo,Gene Expression,0.4110162314594981,0.0,0.0,28624,6.039957652879461,4460
ENSMUSG00000019987,Arg1,Gene Expression,0.4094104055536925,0.0,0.0,228530,42.080053426602134,4923
ENSMUSG00000027559,Car3,Gene Expression,0.4087845401097472,0.0,0.0,369794,72.5280559645745,4922
ENSMUSG00000029304,Spp1,Gene Expression,0.4008786504248606,0.0,0.0,9166,1.6056214538933018,2212
ENSMUSG00000031765,Mt1,Gene Expression,0.39551777433514257,0.0,0.0,78489,14.104474084850425,4867
ENSMUSG00000034528,Hsd17b13,Gene Expression,0.3923985785060155,0.0,0.0,65390,11.647001550145506,4844
