Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000078672,Mup20,Gene Expression,0.6753215872194225,0.0,0.0,397282,70.83280436157548,4961
ENSMUSG00000025479,Cyp2e1,Gene Expression,0.5045362950259589,0.0,0.0,234977,45.75848912604825,4956
ENSMUSG00000030934,Oat,Gene Expression,0.483330957082779,0.0,0.0,48921,9.965499982265339,4457
ENSMUSG00000003053,Cyp2c29,Gene Expression,0.3567146737922598,0.0,0.0,23511,4.652584531837205,4558
ENSMUSG00000076613,Ighg2b,Gene Expression,0.35563106638669595,0.0,0.0,152,0.03207847091664107,69
ENSMUSG00000032080,Apoa4,Gene Expression,0.3534589989435501,0.0,0.0,158874,29.07731034662175,4961
ENSMUSG00000005089,Slc1a2,Gene Expression,0.34634790533934556,0.0,0.0,8632,1.8218317448182406,2712
ENSMUSG00000029304,Spp1,Gene Expression,0.3429700947098892,0.0,0.0,7110,1.229547020154858,2523
ENSMUSG00000052974,Cyp2f2,Gene Expression,0.3407853290969382,0.0,0.0,33681,5.865494808409518,4572
ENSMUSG00000030895,Hpx,Gene Expression,0.31645436265997867,0.0,0.0,114880,20.47723443022882,4960
ENSMUSG00000050440,Hamp,Gene Expression,0.2983205206944416,0.0,0.0,33370,6.14192990897302,4852
ENSMUSG00000021876,Rnase4,Gene Expression,0.29549471187309484,0.0,0.0,44585,8.430731702528648,4924
ENSMUSG00000023070,Rgn,Gene Expression,0.2926984307803934,0.0,0.0,30098,5.710206302506674,4825
ENSMUSG00000076609,Igkc,Gene Expression,0.28955749630656497,0.0,0.0,3013,0.5885017327336003,1248
ENSMUSG00000056035,Cyp3a11,Gene Expression,0.28803246161068996,0.0,0.0,63678,11.984775907677319,4952
ENSMUSG00000019987,Arg1,Gene Expression,0.26875020318055504,0.0,0.0,113772,20.569629159165867,4959
ENSMUSG00000095079,Igha,Gene Expression,0.2607920643132468,0.0,0.0,243,0.04238902122651837,90
ENSMUSG00000002588,Pon1,Gene Expression,0.2602601417681285,0.0,0.0,38155,7.189079902081926,4917
ENSMUSG00000034634,Ly6d,Gene Expression,0.2587319390077515,0.0,0.0,5596,1.0180801369425378,2679
ENSMUSG00000034528,Hsd17b13,Gene Expression,0.25257385637971896,0.0,0.0,36021,6.364256998708045,4826
ENSMUSG00000034450,Gulo,Gene Expression,0.24700473754235955,0.0,0.0,10156,2.074052767176813,3567
ENSMUSG00000029445,Hpd,Gene Expression,0.2456784230878808,0.0,0.0,124517,23.182978064825953,4961
ENSMUSG00000025991,Cps1,Gene Expression,0.24045375964514543,0.0,0.0,86197,15.61395942963551,4952
ENSMUSG00000096688,Mup17,Gene Expression,0.23563073521212569,0.0,0.0,12365,2.447881520187375,4042
ENSMUSG00000064373,Selenop,Gene Expression,0.2257864825700593,0.0,0.0,722750,132.12440797830334,4963
ENSMUSG00000076621,Ighj1,Gene Expression,0.21732968972048902,0.0,0.0,443,0.08593921318336545,239
ENSMUSG00000069917,Hba-a2,Gene Expression,0.2167505237595597,0.0,0.0,2813,0.5484833456716075,1386
ENSMUSG00000029597,Sds,Gene Expression,0.21490154725747204,0.0,0.0,9779,1.6990617552359462,3530
ENSMUSG00000032310,Cyp1a2,Gene Expression,0.21119993314249844,0.0,0.0,11700,2.256589853586546,3894
ENSMUSG00000019232,Etnppl,Gene Expression,0.20899826388873524,0.0,0.0,10744,1.8542975544654021,3514
ENSMUSG00000031765,Mt1,Gene Expression,0.20726021191496488,0.0,0.0,25911,4.557448567548064,4602
