Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000096688,Mup17,Gene Expression,0.5621657100395344,0.0,0.0,469307,87.522672522552,4990
ENSMUSG00000025479,Cyp2e1,Gene Expression,0.5621399547371932,0.0,0.0,199119,36.82054259701807,4986
ENSMUSG00000030934,Oat,Gene Expression,0.5476471259725065,0.0,0.0,93092,17.54903536790705,4709
ENSMUSG00000078672,Mup20,Gene Expression,0.5243681845075117,0.0,0.0,3093534,549.8310895802236,4992
ENSMUSG00000021876,Rnase4,Gene Expression,0.5100215350256845,0.0,0.0,92910,17.142854826125664,4972
ENSMUSG00000003053,Cyp2c29,Gene Expression,0.492475838855198,0.0,0.0,51260,9.557272089073864,4809
ENSMUSG00000052974,Cyp2f2,Gene Expression,0.48919170509138155,0.0,0.0,109084,19.398129394452056,4958
ENSMUSG00000032080,Apoa4,Gene Expression,0.4883275336361878,0.0,0.0,730727,132.62342162318902,4991
ENSMUSG00000028307,Aldob,Gene Expression,0.44968754109233955,0.0,0.0,1510218,270.5547323913003,4992
ENSMUSG00000023070,Rgn,Gene Expression,0.4474530307658126,0.0,0.0,51207,9.328095960452362,4874
ENSMUSG00000005089,Slc1a2,Gene Expression,0.44608388196869214,0.0,0.0,18651,3.6137692666265164,3452
ENSMUSG00000076609,Igkc,Gene Expression,0.44065385131412127,0.0,0.0,10070,2.0142541950026924,2289
ENSMUSG00000058135,Gstm1,Gene Expression,0.43593369578273505,0.0,0.0,688770,121.17772013463109,4991
ENSMUSG00000031271,Serpina7,Gene Expression,0.4341332629654007,0.0,0.0,39653,7.216248918288299,4753
ENSMUSG00000032310,Cyp1a2,Gene Expression,0.4318581775550724,0.0,0.0,46848,8.639192151636532,4868
ENSMUSG00000019987,Arg1,Gene Expression,0.4313756607595917,0.0,0.0,128812,22.930221816235704,4989
ENSMUSG00000029304,Spp1,Gene Expression,0.42501235347574196,0.0,0.0,39789,7.011664061476603,4596
ENSMUSG00000034450,Gulo,Gene Expression,0.4221526946082211,0.0,0.0,29580,5.635223781528148,4517
ENSMUSG00000056035,Cyp3a11,Gene Expression,0.4205302023103331,0.0,0.0,48976,8.920329294614573,4867
ENSMUSG00000025991,Cps1,Gene Expression,0.4173630698935366,0.0,0.0,129280,23.03367544692844,4986
ENSMUSG00000060126,Tpt1,Gene Expression,0.41103017427490135,0.0,0.0,283006,49.87451201675354,4992
ENSMUSG00000002588,Pon1,Gene Expression,0.40763798179670735,0.0,0.0,67289,12.15427896938961,4958
ENSMUSG00000076570,Igkv12-38,Gene Expression,0.40694979353616884,0.0,0.0,90,0.028549924402932258,38
ENSMUSG00000034528,Hsd17b13,Gene Expression,0.4012208712674282,0.0,0.0,57056,10.020579074505806,4910
ENSMUSG00000072115,Ang,Gene Expression,0.39120692013150876,0.0,0.0,32120,5.907665359273768,4731
ENSMUSG00000010025,Aldh3a2,Gene Expression,0.38768494828710814,0.0,0.0,65504,11.866780617595435,4975
ENSMUSG00000030895,Hpx,Gene Expression,0.38434660712139784,0.0,0.0,239443,42.88518818530569,4990
ENSMUSG00000064373,Selenop,Gene Expression,0.3811553676796362,0.0,0.0,1104351,201.92206637985868,4991
ENSMUSG00000002985,Apoe,Gene Expression,0.3780991262053892,0.0,0.0,1032923,187.4153810154682,4991
ENSMUSG00000074207,Adh1,Gene Expression,0.37719666188733453,0.0,0.0,317200,56.32226640069934,4991
ENSMUSG00000023829,Slc22a1,Gene Expression,0.37562427733459486,0.0,0.0,62207,11.413782532968861,4980
ENSMUSG00000002992,Apoc2,Gene Expression,0.3728341772471693,0.0,0.0,197118,34.89430722579536,4991
ENSMUSG00000076621,Ighj1,Gene Expression,0.3583423802558362,0.0,0.0,481,0.12117381441711321,224
ENSMUSG00000027513,Pck1,Gene Expression,0.3498251157066074,0.0,0.0,86869,15.281659105287408,4983
ENSMUSG00000025934,Gsta3,Gene Expression,0.34959498387776583,0.0,0.0,302883,53.96501387011446,4991
ENSMUSG00000073834,Mup11,Gene Expression,0.3486058402328784,0.0,0.0,21469,4.038660183636703,4399
ENSMUSG00000031722,Hp,Gene Expression,0.3377870899116358,0.0,0.0,142282,26.298872916557837,4990
ENSMUSG00000022982,Sod1,Gene Expression,0.3363332252695214,0.0,0.0,283056,50.561476138902165,4991
ENSMUSG00000021539,Lect2,Gene Expression,0.3353156539138032,0.0,0.0,20592,3.8075290883108663,4450
ENSMUSG00000035561,Aldh1b1,Gene Expression,0.3268646126324813,0.0,0.0,12148,2.1067940571494885,3529
ENSMUSG00000078680,Mup10,Gene Expression,0.3257126079907308,0.0,0.0,49947,8.937899732274639,4949
ENSMUSG00000040564,Apoc1,Gene Expression,0.3188098565785226,0.0,0.0,988793,176.7003807506223,4992
ENSMUSG00000027559,Car3,Gene Expression,0.3014068297004155,0.0,0.0,318987,57.943883854429444,4990
ENSMUSG00000024990,Rbp4,Gene Expression,0.2954378258128407,0.0,0.0,316730,57.82273493694128,4991
ENSMUSG00000079015,Serpina1c,Gene Expression,0.29250227577234567,0.0,0.0,247305,44.77209273049852,4991
ENSMUSG00000029368,Alb,Gene Expression,0.2916767092898661,0.0,0.0,3830403,682.5352812546115,4992
