Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000078672,Mup20,Gene Expression,0.5117936952830768,0.0,0.0,294721,56.76232022934613,4878
ENSMUSG00000025479,Cyp2e1,Gene Expression,0.5070351137127811,0.0,0.0,272665,53.94597079273927,4877
ENSMUSG00000060126,Tpt1,Gene Expression,0.48207931953724564,0.0,0.0,175576,33.459835239243546,4878
ENSMUSG00000030934,Oat,Gene Expression,0.4813005070417966,0.0,0.0,60913,12.31345006833236,4420
ENSMUSG00000003053,Cyp2c29,Gene Expression,0.3985656754692692,0.0,0.0,49301,9.849130749090945,4766
ENSMUSG00000002985,Apoe,Gene Expression,0.3953836247161753,0.0,0.0,781589,154.86501323587913,4878
ENSMUSG00000021876,Rnase4,Gene Expression,0.3907797662353893,0.0,0.0,85131,16.523427186611695,4874
ENSMUSG00000032080,Apoa4,Gene Expression,0.38690858499307074,0.0,0.0,75506,14.667078725185387,4847
ENSMUSG00000052974,Cyp2f2,Gene Expression,0.3820291972413229,0.0,0.0,44099,8.401533768554065,4614
ENSMUSG00000029368,Alb,Gene Expression,0.37294967008266017,0.0,0.0,3742942,706.288055167227,4879
ENSMUSG00000098814,Igkv19-93,Gene Expression,0.37167733702021216,0.0,0.0,284,0.04860047270133161,66
ENSMUSG00000056035,Cyp3a11,Gene Expression,0.37037050733893945,0.0,0.0,54034,10.731342636584436,4821
ENSMUSG00000040564,Apoc1,Gene Expression,0.3701535231055574,0.0,0.0,816577,156.0423884861703,4879
ENSMUSG00000005089,Slc1a2,Gene Expression,0.36951817176928503,0.0,0.0,9920,2.1169832347808453,2708
ENSMUSG00000095079,Igha,Gene Expression,0.35777068363459374,0.0,0.0,335,0.04934826397571161,68
ENSMUSG00000076621,Ighj1,Gene Expression,0.35203084598258905,0.0,0.0,575,0.10938560531158319,192
ENSMUSG00000029304,Spp1,Gene Expression,0.3484931456297689,0.0,0.0,4933,0.9577356046819928,1848
ENSMUSG00000002588,Pon1,Gene Expression,0.34837990958180975,0.0,0.0,60713,11.711059852407827,4842
