Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000096688,Mup17,Gene Expression,0.5886553498747955,0.0,0.0,249910,52.31668617660157,4602
ENSMUSG00000025479,Cyp2e1,Gene Expression,0.5827542972112411,0.0,0.0,237740,49.96756748150131,4591
ENSMUSG00000032080,Apoa4,Gene Expression,0.5781285112290347,0.0,0.0,145719,29.250067682979058,4598
ENSMUSG00000078672,Mup20,Gene Expression,0.5461906791048998,0.0,0.0,692228,138.38923845473238,4604
ENSMUSG00000003053,Cyp2c29,Gene Expression,0.5370696653471901,0.0,0.0,63312,13.344133424374728,4406
ENSMUSG00000030934,Oat,Gene Expression,0.5342383717623613,0.0,0.0,55546,12.132925573341799,4093
ENSMUSG00000028307,Aldob,Gene Expression,0.5121474982248136,0.0,0.0,566299,114.27170772365541,4604
ENSMUSG00000052974,Cyp2f2,Gene Expression,0.4973861346758226,0.0,0.0,64588,12.923471704158496,4357
ENSMUSG00000073834,Mup11,Gene Expression,0.47415952311550436,0.0,0.0,22679,4.710291314611248,3952
ENSMUSG00000023070,Rgn,Gene Expression,0.471589190720129,0.0,0.0,41490,8.66364058393296,4341
ENSMUSG00000021876,Rnase4,Gene Expression,0.4710694942433272,0.0,0.0,30846,6.522351867207159,4198
ENSMUSG00000019987,Arg1,Gene Expression,0.45728474572453076,0.0,0.0,105408,21.14065984569841,4588
ENSMUSG00000032310,Cyp1a2,Gene Expression,0.4546334661215953,0.0,0.0,24617,5.249890867586542,3921
ENSMUSG00000002588,Pon1,Gene Expression,0.4536555305610311,0.0,0.0,44405,9.278186307391252,4471
ENSMUSG00000079015,Serpina1c,Gene Expression,0.4499426892037873,0.0,0.0,195769,39.792886385470716,4603
ENSMUSG00000027559,Car3,Gene Expression,0.4478448635280199,0.0,0.0,221328,45.50972801932064,4603
ENSMUSG00000066154,Mup3,Gene Expression,0.4439420397357055,0.0,0.0,471372,96.00086420662184,4604
ENSMUSG00000056035,Cyp3a11,Gene Expression,0.44283279614213483,0.0,0.0,24994,5.268450666343068,3924
ENSMUSG00000058135,Gstm1,Gene Expression,0.4415263867879159,0.0,0.0,253186,51.97511779997167,4603
ENSMUSG00000025991,Cps1,Gene Expression,0.4400414000950986,0.0,0.0,108052,21.753589114040242,4588
ENSMUSG00000034450,Gulo,Gene Expression,0.4262776515660754,0.0,0.0,15295,3.2921592545139795,3387
ENSMUSG00000064373,Selenop,Gene Expression,0.42578630448879634,0.0,0.0,538583,110.12497984081756,4604
ENSMUSG00000027513,Pck1,Gene Expression,0.4192138534321917,0.0,0.0,68698,13.768841991252694,4573
ENSMUSG00000005089,Slc1a2,Gene Expression,0.4131076280089084,0.0,0.0,8672,1.928345754450544,2358
ENSMUSG00000034528,Hsd17b13,Gene Expression,0.40950382724230266,0.0,0.0,22257,4.44438126607697,4003
ENSMUSG00000002985,Apoe,Gene Expression,0.40476522604563286,0.0,0.0,514198,106.27588203037507,4603
ENSMUSG00000002992,Apoc2,Gene Expression,0.4025886772537613,0.0,0.0,78258,15.677409102634636,4581
ENSMUSG00000032554,Trf,Gene Expression,0.39968780538990273,0.0,0.0,461808,94.20365999636238,4604
ENSMUSG00000029304,Spp1,Gene Expression,0.3980571681256577,0.0,0.0,4009,0.8051405615878434,1296
ENSMUSG00000030895,Hpx,Gene Expression,0.3850600172759299,0.0,0.0,64810,13.067282344398924,4596
ENSMUSG00000058207,Serpina3k,Gene Expression,0.37731808750196705,0.0,0.0,303748,61.95444107270611,4604
ENSMUSG00000029445,Hpd,Gene Expression,0.3751632760190996,0.0,0.0,153502,31.563917126865277,4603
ENSMUSG00000037071,Scd1,Gene Expression,0.3705493092719492,0.0,0.0,503317,103.289970065957,4604
ENSMUSG00000029368,Alb,Gene Expression,0.36644926430263136,0.0,0.0,2870815,574.6726961938393,4604
ENSMUSG00000010025,Aldh3a2,Gene Expression,0.3652272830844944,0.0,0.0,35553,7.404916417684028,4472
ENSMUSG00000076615,Ighg3,Gene Expression,0.363916060017297,0.0,0.0,265,0.0639958355884887,47
ENSMUSG00000072115,Ang,Gene Expression,0.36118552913026597,0.0,0.0,12329,2.605698345625146,3477
ENSMUSG00000060126,Tpt1,Gene Expression,0.3541463263140182,0.0,0.0,140649,28.735128092378066,4603
ENSMUSG00000031271,Serpina7,Gene Expression,0.3477224234491406,0.0,0.0,9758,2.04314270781463,3164
ENSMUSG00000019232,Etnppl,Gene Expression,0.3456168506431975,0.0,0.0,8444,1.6769441187038,2868
ENSMUSG00000069917,Hba-a2,Gene Expression,0.34277194415971757,0.0,0.0,9429,2.4181282921200657,2828
ENSMUSG00000035561,Aldh1b1,Gene Expression,0.33892690208089726,0.0,0.0,4892,0.9480540095765908,2030
ENSMUSG00000024990,Rbp4,Gene Expression,0.3300305601157261,0.0,0.0,258199,53.272117722566655,4603
ENSMUSG00000067225,Cyp2c54,Gene Expression,0.32533131457900083,0.0,0.0,11131,2.3241602895756457,3421
ENSMUSG00000025934,Gsta3,Gene Expression,0.3201635945598071,0.0,0.0,170866,35.264676775391955,4604
ENSMUSG00000078680,Mup10,Gene Expression,0.31747936375688945,0.0,0.0,25602,5.283863740654137,4393
ENSMUSG00000024646,Cyb5a,Gene Expression,0.3169563859480809,0.0,0.0,117864,24.220730845038066,4604
ENSMUSG00000001506,Col1a1,Gene Expression,0.30970515207106414,0.0,0.0,1518,0.3667224965740506,850
ENSMUSG00000022323,Rida,Gene Expression,0.3091081093113688,0.0,0.0,89702,17.927198384405425,4598
ENSMUSG00000052305,Hbb-bs,Gene Expression,0.3072463314795182,0.0,0.0,7871,1.9768181312769966,2626
ENSMUSG00000033022,Cdo1,Gene Expression,0.3032006813495818,0.0,0.0,111734,22.99798101581525,4603
ENSMUSG00000021539,Lect2,Gene Expression,0.3010726844007097,0.0,0.0,8301,1.7728387908098233,3070
ENSMUSG00000050440,Hamp,Gene Expression,0.2950626764691388,0.0,0.0,10425,2.039758610092249,3406
ENSMUSG00000074207,Adh1,Gene Expression,0.29295818337758656,0.0,0.0,158649,32.47195165908383,4602
ENSMUSG00000044005,Gls2,Gene Expression,0.2918894371995957,0.0,0.0,9653,1.915133382787526,3267
ENSMUSG00000069805,Fbp1,Gene Expression,0.2877096696428402,0.0,0.0,78433,15.844766583345201,4600
ENSMUSG00000026043,Col3a1,Gene Expression,0.2876965786301321,0.0,0.0,4730,1.0920384732735162,2154
ENSMUSG00000023829,Slc22a1,Gene Expression,0.28396552805914754,0.0,0.0,23900,5.0079922954629605,4395
ENSMUSG00000040564,Apoc1,Gene Expression,0.28117457805642954,0.0,0.0,562044,114.80503761637588,4604
ENSMUSG00000076609,Igkc,Gene Expression,0.2798116506033217,0.0,0.0,1957,0.4409255750458973,818
ENSMUSG00000030378,Sult2a8,Gene Expression,0.2788268948554335,0.0,0.0,19429,4.021795447197857,4270
ENSMUSG00000032083,Apoa1,Gene Expression,0.2787840902763023,0.0,0.0,355500,71.58823464199011,4604
ENSMUSG00000029597,Sds,Gene Expression,0.2787006587082452,0.0,0.0,6114,1.2098476888439855,2551
ENSMUSG00000035783,Acta2,Gene Expression,0.2768029926223025,0.0,0.0,682,0.17175171812550288,436
ENSMUSG00000020641,Rsad2,Gene Expression,0.26781137985584635,0.0,0.0,1061,0.2290981578960851,536
ENSMUSG00000001670,Tat,Gene Expression,0.26664180927350745,0.0,0.0,41576,8.417809081588269,4573
ENSMUSG00000039196,Orm1,Gene Expression,0.25995318972617215,0.0,0.0,41134,8.32283242052138,4544
ENSMUSG00000030236,Slco1b2,Gene Expression,0.2573910968255982,0.0,0.0,21174,4.403193873596942,4359
ENSMUSG00000015890,Amdhd1,Gene Expression,0.25733756583430956,0.0,0.0,13018,2.608853587567676,3796
ENSMUSG00000039114,Nrn1,Gene Expression,0.2512928326943864,0.0,0.0,16547,3.470545415866326,4153
ENSMUSG00000026417,Pigr,Gene Expression,0.2509401763606966,0.0,0.0,32301,6.493734043175112,4492
ENSMUSG00000028186,Uox,Gene Expression,0.25034775575037205,0.0,0.0,164693,33.31310812920463,4602
ENSMUSG00000030946,Lhpp,Gene Expression,0.247755075980338,0.0,0.0,3646,0.7795714952042598,1870
ENSMUSG00000058672,Tubb2a,Gene Expression,0.24541906890500584,0.0,0.0,28563,5.848035780034217,4514
ENSMUSG00000034456,Uroc1,Gene Expression,0.2449917769761278,0.0,0.0,17089,3.416629233911641,4153
ENSMUSG00000022982,Sod1,Gene Expression,0.24251364970704165,0.0,0.0,135629,27.74658062284542,4604
ENSMUSG00000072849,Serpina1e,Gene Expression,0.2423722681419864,0.0,0.0,4330,0.8399588525053541,2142
ENSMUSG00000026574,Dpt,Gene Expression,0.23984816735357847,0.0,0.0,605,0.14675517902662755,409
ENSMUSG00000040562,Gstm2,Gene Expression,0.2385941019702261,0.0,0.0,9820,2.077163973264375,3517
ENSMUSG00000022215,Fitm1,Gene Expression,0.23826392684523692,0.0,0.0,15657,3.2772046888257695,4165
ENSMUSG00000024526,Cidea,Gene Expression,0.2353776003566479,0.0,0.0,3598,0.778809393487563,2063
ENSMUSG00000051748,Wfdc21,Gene Expression,0.23493737836987072,0.0,0.0,74217,14.93460398455274,4596
ENSMUSG00000025396,Hsd17b6,Gene Expression,0.23306424415343052,0.0,0.0,3024,0.6015965245937218,1684
ENSMUSG00000020917,Acly,Gene Expression,0.23149388825331024,0.0,0.0,17322,3.4886488376107168,4194
ENSMUSG00000024661,Fth1,Gene Expression,0.23030608674184086,0.0,0.0,271036,55.50542869070388,4604
ENSMUSG00000020017,Hal,Gene Expression,0.22847891187076597,0.0,0.0,5021,1.0018014258075185,2453
ENSMUSG00000029661,Col1a2,Gene Expression,0.22774716809216056,0.0,0.0,1205,0.2799936441974271,820
ENSMUSG00000061780,Cfd,Gene Expression,0.22708029840459165,0.0,0.0,2884,0.6125910469779807,1672
ENSMUSG00000034371,Tkfc,Gene Expression,0.22672933665095946,0.0,0.0,42069,8.487044317903083,4570
ENSMUSG00000076937,Iglc2,Gene Expression,0.22598436871248287,0.0,0.0,61,0.014144353048652754,25
ENSMUSG00000020051,Pah,Gene Expression,0.224532932213129,0.0,0.0,62330,12.76970706322075,4602
ENSMUSG00000032079,Apoa5,Gene Expression,0.22197621755904068,0.0,0.0,66160,13.417174681008456,4594
ENSMUSG00000041567,Serpina12,Gene Expression,0.2199789185849426,0.0,0.0,8617,1.7075737296881306,3306
ENSMUSG00000053279,Aldh1a1,Gene Expression,0.21813713639312854,0.0,0.0,58623,12.012851747593631,4595
ENSMUSG00000028240,Cyp7a1,Gene Expression,0.2134607495504717,0.0,0.0,3636,0.7697255935323353,2024
ENSMUSG00000069922,Ces3a,Gene Expression,0.21321267716948147,0.0,0.0,47853,9.847774713548878,4591
ENSMUSG00000004038,Gstm3,Gene Expression,0.21274386180982008,0.0,0.0,10738,2.252229824697294,3722
ENSMUSG00000034994,Eef2,Gene Expression,0.21264574799308886,0.0,0.0,26198,5.404004999881573,4540
ENSMUSG00000010651,Acaa1b,Gene Expression,0.2063890159099808,0.0,0.0,99407,20.42493385155483,4603
ENSMUSG00000023175,Bsg,Gene Expression,0.2061221792731533,0.0,0.0,49087,10.096904550024663,4591
ENSMUSG00000008540,Mgst1,Gene Expression,0.20543152738310866,0.0,0.0,260412,53.50690434403674,4603
ENSMUSG00000061808,Ttr,Gene Expression,0.2020098091456521,0.0,0.0,910015,185.62550872039685,4604
ENSMUSG00000030218,Mgp,Gene Expression,0.2017444639951664,0.0,0.0,222,0.050467270321583456,151
